Name,ra,dec,CatalogName
1eRASS J020213.5-762001,30.55659,-76.33427,
1eRASS J020300.7-240214,30.75378,-24.03683,
J020529.8-244621,31.37435,-24.77271,N.A.
J020834.8-173935,32.14544,-17.65988,NVSSJ020834-173933
J021124.5-401725,32.85324,-40.29026,N.A.
J021150.5-170232,32.9629,-17.04484,J021151-170241
J021253.8-260839,33.2207,-26.14421,J021252-260839
1eRASS J021353.7-221928,33.47465,-22.32491,
1eRASSJ021437.1-643004,33.65584,-64.50141,N.A.
1eRASS J021800.9-712801,34.50308,-71.46707,HD 14643
1eRASS J022048.4-333327,35.20264,-33.55737,
J022440.4-190830,36.16891,-19.14173,ESO545-13
J022502.7-231249,36.26227,-23.21401,N.A.
1eRASSJ022509.0-631325,36.28757,-63.22398,N.A.
1eRASS J022625.5-282100,36.60679,-28.34948,
1eRASS J022815.1-405715,37.06328,-40.9543,
1eRASS J023000.6-595630,37.50268,-59.94137,
1eRASSJ023422.7-434753,38.59437,-43.79762,N.A.
J023437.8-084716,38.65661,-8.78786,NGC985
J023727.6-263031,39.36588,-26.50766,PGC767076
1eRASSJ023819.6-521133,39.58215,-52.19232,ESO198-24
J023845.0-304820,39.68804,-30.80634,ESO416-5
1eRASS J023849.0-403837,39.70395,-40.64411,
J023848.8-125846,39.70523,-12.98053,TEX0236-131
1eRASS J023901.0-581113,39.75471,-58.18723,CD-58 538
J024008.1-230918,40.03379,-23.15419,CRATESJ024008-230920
1eRASS J024029.9-093627,40.12468,-9.60809,
1eRASS J024309.6-721648,40.79032,-72.28008,
J024618.8-301625,41.57634,-30.27526,J024618-301630
J024933.9-311126,42.39077,-31.19012,N.A.
1eRASS J024958.5-550319,42.49521,-55.05531,
J025740.7-163047,44.42092,-16.51234,N.A.
J030004.1-104926,45.01754,-10.82444,MCG-02.08.038
J030220.9-042324,45.58769,-4.38964,mcxcJ0302.3-0423
J030515.1-160816,46.31283,-16.13794,3HSPJ030515.1-160816
J030724.0-164020,46.85077,-16.67227,J030724-164020
J031118.8-204618,47.8283,-20.7715,PGC3095624
1eRASS J031204.6-285859,48.0196,-28.9832,
1eRASS J031324.8-350627,48.35341,-35.10719,
1eRASSJ031757.8-441417,49.49375,-44.23889,J0317.9-4414
1eRASS J031828.1-212209,49.61735,-21.36886,
1eRASS J031948.6-262712,49.95219,-26.45388,
J032241.6-371228,50.67344,-37.2075,J032241-371225
1eRASSJ032502.3-415417,51.25991,-41.90781,N.A.
J032525.3-060839,51.3557,-6.14389,KUG0322-063B
1eRASS J032649.8-004354,51.70852,-0.73123,
1eRASS J032802.9-622532,52.01276,-62.42529,
1eRASSJ032836.5-554251,52.15625,-55.71278,J0328.6-5542
J033105.9-210032,52.77486,-21.00903,J033105-210032
1eRASS J033319.8+024428,53.33183,2.74145,
J033336.3-360825,53.40137,-36.14076,NGC1365
J033424.4-151340,53.60257,-15.2279,N.A.
J033647.1+003513,54.19672,0.58718,SAO111291
1eRASS J033702.9-095003,54.26225,-9.83392,
J033829.1-352701,54.62044,-35.4502,J033828-352652
1eRASS J033930.3-175758,54.87586,-17.96617,
J034011.6-183446,55.04904,-18.58032,J034011-183449
1eRASS J034203.6-211441,55.51502,-21.24419,
1eRASS J034503.0-264820,56.26265,-26.80606,
1eRASS J034503.2-543020,56.26327,-54.50563,
1eRASS J034928.5-534447,57.36844,-53.74612,
J035019.1-221724,57.57976,-22.28922,PGC3095652
1eRASS J035128.4-142906,57.86862,-14.4856,
1eRASS J035559.6-610428,58.99838,-61.07449,
J035912.5-234156,59.80204,-23.69887,5084149398994695168
J040003.7-290221,60.01618,-29.03822,SAO169022
1eRASS J040322.0-630539,60.84159,-63.09444,
J040940.7-075329,62.41941,-7.89356,SAO130994
1eRASS J041144.5-432233,62.93527,-43.37592,
J041325.2+102752,63.35498,10.46495,mcxcJ0413.4+1028
1eRASS J041340.2+111211,63.41798,11.20409,
J041358.7-380555,63.49479,-38.09814,J041358-380553
J041452.4-075540,63.7192,-7.92754,IRAS04124-0803
J041716.8-055344,64.31852,-5.89396,3C110
J041719.8+034651,64.33242,3.78088,RXSJ04173+0347
J041938.2+022426,64.90813,2.40953,J041937+022435
1eRASS J041941.9-122507,64.92553,-12.41909,
1eRASSJ042000.3-545616,65.00165,-54.93795,NGC1566
1eRASS J042127.4-481804,65.3644,-48.3016,5BZQJ0421-4818
J042157.2-181933,65.49155,-18.32496,N.A.
1eRASS J042202.7-415333,65.5118,-41.89265,
J042551.3-083337,66.46379,-8.56108,5BZG J0425-0833
1eRASSJ042600.6-571200,66.50299,-57.20049,N.A.
1eRASS J042831.1-173432,67.1291,-17.57593,
J042922.7+003706,67.34483,0.61849,J042923+003703
J042938.1-210943,67.40943,-21.16212,NPM1G-21.0146
1eRASS J043054.9-213118,67.72936,-21.52208,
1eRASS J043137.0-024124,67.9046,-2.69027,
J043337.7-131537,68.40747,-13.26136,mcxcJ0433.6-1315
1eRASS J043516.3-780155,68.81757,-78.03253,
1eRASS J043554.0-363642,68.97492,-36.61184,
J043622.3-102232,69.09266,-10.37579,MARK618
J043814.1-104745,69.55865,-10.79612,MCG-2-12-050
J043902.2+052039,69.75942,5.34547,5BZG J0439+0520
1eRASS J044040.3-411043,70.16814,-41.17899,
J044122.3-270820,70.34354,-27.13911,PGC3095695
1eRASS J044134.5-194104,70.39334,-19.68474,
1eRASS J044154.1-082634,70.4759,-8.44299,PGC3095696
J044255.6-263511,70.73268,-26.58598,J044255-263509
J044320.6-282052,70.83642,-28.34781,HE0441-2826
J044356.7-244153,70.98511,-24.69728,J044356.74-244203.5
J044428.8+122111,71.11974,12.35389,IRAS04416+1215
J044432.8-264252,71.13685,-26.71415,WISEAJ044432.90-264251.1
J044637.3-042106,71.6569,-4.35115,mcxcJ0446.6-0421
J044656.5-030512,71.73625,-3.08672,NPM1G-03.0212
1eRASS J044720.6-050813,71.83627,-5.13749,
1eRASS J044741.8-243502,71.92391,-24.58427,
J044929.5-285955,72.37304,-28.99822,J044929-285953
J045141.4-034834,72.922,-3.80892,MCG-1-13-025
1eRASS J045144.0-581059,72.93307,-58.18345,
J045230.0-295335,73.12541,-29.89325,IRAS04505-2958
1eRASS J045254.0-585348,73.22646,-58.89597,
1eRASSJ045336.5-682920,73.40984,-68.49054,J045338-682925
1eRASS J045608.7-215909,74.0367,-21.98602,
1eRASS J045638.6-533210,74.16012,-53.53664,
1eRASSJ045817.9-751637,74.57467,-75.27723,4649182702130967296
J045854.4-002918,74.72736,-0.48897,mcxcJ0458.9-0029
J045954.4+101748,74.97678,10.29665,J045954+101747
1eRASS J050024.1-115348,75.10057,-11.89691,
1eRASS J050137.9+025425,75.40843,2.90709,SAO112327
1eRASS J050158.8+095856,75.49527,9.98213,LP 476-207
J050209.0+033149,75.53711,3.53077,PGC75258
1eRASS J050304.1-663346,75.7666,-66.56287,
J050509.3-322000,76.28891,-32.33255,J050509-321952
1eRASSJ050542.2-675239,76.42748,-67.87908,J050542-675245
1eRASSJ050554.4-680152,76.48274,-68.0311,J050554-680149
1eRASSJ050858.5-684333,77.24373,-68.72478,CRATESJ050854-684418
1eRASS J050900.2-684344,77.24944,-68.72859,
1eRASSJ050930.8-673117,77.38168,-67.51982,N.A.
J051045.4+162958,77.6897,16.49958,PGC3095715
J051323.9-332009,78.34958,-33.33581,WISEAJ051323.95-332008.9
J051445.1-195146,78.68788,-19.86323,J051445-195147
J051611.3-000858,79.04751,-0.14974,AKN120
1eRASS J051621.0-103341,79.08845,-10.56172,MCG-2-14-009
1eRASSJ051638.2-514647,79.15946,-51.78038,N.A.
1eRASS J051651.8-042529,79.21574,-4.42514,
1eRASSJ051933.9-690205,79.8959,-69.03379,J051933-690205
J051935.7-323928,79.89903,-32.65892,N.A.
1eRASSJ051949.6-454643,79.95718,-45.77885,Pictor A
1eRASS J052031.8+061610,80.13274,6.2694,
J052145.8+211252,80.441,21.21332,3HSPJ052146.0+211251
1eRASS J052245.5-391705,80.69087,-39.28501,
1eRASS J052254.7+085806,80.72841,8.96799,
1eRASS J052401.5-710931,81.00724,-71.15901,
1eRASS J052406.9-121008,81.0285,-12.16913,
1eRASS J052546.5+083734,81.44449,8.62595,
1eRASS J052600.3-660455,81.50253,-66.08033,
J052814.5-294311,82.05959,-29.71919,J052814-294306
J052829.7+181656,82.1231,18.28224,J052829+181656
1eRASS J052844.6-652650,82.18778,-65.44745,SAO249286
J052852.7-392824,82.22024,-39.47087,RBS0653
J052901.5+105711,82.25662,10.95321,SNUJ05290+1057
1eRASS J053210.1-735721,83.04286,-73.95615,
1eRASS J053214.4+094910,83.05993,9.81955,
1eRASS J053230.7-375320,83.12812,-37.88909,
J053428.6+220012,83.61825,22.00511,J053428+220018
1eRASSJ053527.5-691609,83.86777,-69.26997,J053527-691611
1eRASS J053544.3-660159,83.93067,-66.03215,
1eRASS J053844.7-023600,84.68659,-2.59917,SAO132406
1eRASSJ054010.3-691952,85.03918,-69.33123,J054009-691954
1eRASS J054012.1-691955,85.04712,-69.33161,
1eRASS J054434.0-012202,86.14199,-1.36713,
J054700.9-390425,86.7549,-39.07483,N.A.
1eRASS J055141.8-191306,87.9254,-19.21874,
J055211.3-072721,88.04714,-7.45605,NGC2110
1eRASS J055224.5-640211,88.10204,-64.03626,
1eRASS J055327.3-433332,88.36274,-43.55853,SAO217600
1eRASS J055403.0+014022,88.51277,1.67281,
1eRASS J055714.5-535712,89.31125,-53.95404,
1eRASS J055911.3-532538,89.79735,-53.42745,
1eRASS J060003.7+024224,90.01663,2.70611,
J060014.8+124340,90.0625,12.72867,3HSPJ060015.0+124343
J060209.9+282820,90.54352,28.47205,PGC3095730
J060415.1+124550,91.06285,12.76408,SAO95191
1eRASS J060427.4-225541,91.1145,-22.92793,
1eRASS J060446.3-482729,91.19312,-48.45851,SAO217708
J060549.1-275440,91.45355,-27.91091,6dFJ060549.0-275440
1eRASS J060649.3-624542,91.70756,-62.76231,
1eRASS J060840.3-304134,92.16908,-30.69259,
1eRASSJ060917.3-560657,92.32284,-56.11622,CTSH34.06
1eRASS J061006.6-624312,92.52793,-62.71923,
J061018.9-185758,92.58039,-18.96493,J061019-185753
1eRASS J061117.3-192300,92.82234,-19.38368,
1eRASS J061119.3-323421,92.83135,-32.57241,
1eRASS J061226.7-464718,93.11193,-46.78852,
1eRASS J061231.2-212836,93.13082,-21.47532,
J061238.8-164835,93.16178,-16.8099,SAO151224
1eRASS J061503.7-661716,93.76687,-66.28827,
1eRASS J061542.2-072344,93.92633,-7.39601,
1eRASS J062002.9-331357,95.01246,-33.233,
J062040.1+264330,95.16687,26.72553,3HSPJ062040.0+264331
1eRASS J062210.6-155929,95.54397,-15.99173,
J062444.9-323055,96.18771,-32.51536,3HSPJ062445.1-323055
J062924.8-054524,97.3531,-5.75744,IRAS06269-0543
1eRASS J062956.6-265832,97.48664,-26.97595,
1eRASS J063107.9-432656,97.78405,-43.44908,
J063122.6+250103,97.8447,25.01852,J063122+250106
1eRASS J063146.3-642615,97.94349,-64.4377,
1eRASS J063516.9-695402,98.82169,-69.90035,
J063652.5-081047,99.21877,-8.17982,SNUJ06368-0810
1eRASS J063800.3-613158,99.50151,-61.53321,SAO249604
1eRASS J063940.8-512515,99.91969,-51.42095,
J064007.1-125314,100.02992,-12.8875,3HSPJ064007.2-125315
1eRASS J064111.2+334459,100.29711,33.74899,
J064318.0+323605,100.82473,32.60215,J064317+323608
1eRASS J064643.3-755312,101.68376,-75.88618,
1eRASS J064752.3-252330,101.96777,-25.39215,
J064814.0+160655,102.05821,16.11569,3HSPJ064814.0+160656
J064847.6+151622,102.1985,15.27356,3HSPJ064847.6+151624
J064856.2+352209,102.2348,35.36876,SNUJ06489+3522
J064923.9+180045,102.35114,18.01229,J064924+180045
J064956.4+281449,102.48459,28.24749,WISEAJ064956.22+281451.9
J065035.2+205555,102.64721,20.93219,3HSPJ065035.3+205555
J070028.3-304536,105.11774,-30.75967,5607623105411432576
1eRASS J070110.2-323453,105.29241,-32.58129,
J070113.2+271848,105.30468,27.31327,WISEAJ070113.20+271846.9
1eRASS J070902.2-483619,107.26084,-48.60558,
J070912.5-152703,107.30213,-15.45097,3HSPJ070912.5-152703
J070948.1-300907,107.44962,-30.15158,3HSPJ070947.1-300905
J071023.8+224004,107.59898,22.66736,J071023+224002
J071029.6-390142,107.6238,-39.02821,N.A.
1eRASS J071032.9-535751,107.63756,-53.96427,
J071147.3+321839,107.94852,32.31012,PGC20369
J071215.6+153929,108.06497,15.65869,PGC1490211
1eRASS J071309.4+365607,108.28934,36.93521,
1eRASS J071414.0-362535,108.55837,-36.42676,SAO197732
1eRASS J071528.9-583234,108.87102,-58.54267,SAO235051
J071950.5-012459,109.96057,-1.41639,SAO134519
J072018.7+234900,110.07746,23.81775,mcxcJ0720.3+2348
J072100.2+141122,110.25096,14.18991,WISEAJ072100.31+141122.7
J072113.8-022054,110.30792,-2.34861,3HSPJ072113.1-022055
J072132.8+260934,110.38669,26.15928,SAO79316
J072217.5+303050,110.57311,30.51393,PGC1906770
J072259.5-073133,110.74867,-7.52633,3HSPJ072259.7-073134
J072310.4-304753,110.79422,-30.79825,J072310-304756
J072529.5-050337,111.37304,-5.06014,3HSPJ072529.5-050336
J072550.6-005457,111.461,-0.91569,5BZU J0725-0054
1eRASS J072635.2+370004,111.64719,37.00043,
1eRASS J072654.8+095004,111.72873,9.83459,
J072835.2+140741,112.14738,14.12851,J072835+140742
J072927.4+243623,112.36527,24.60619,PGC1711560
1eRASS J072931.1+355558,112.38084,35.93095,
1eRASS J072956.9-654334,112.48597,-65.72575,
1eRASS J073437.2+315207,113.65479,31.8689,SAO60199
J073721.1+351739,114.33717,35.29492,5BZG J0737+3517
J073834.1+040713,114.64152,4.12024,WISEAJ073834.10+040714.5
J074125.1+333320,115.35514,33.55646,N.A.
J074240.0+092230,115.66729,9.37258,J074240+092221
J074314.6-254550,115.81058,-25.76356,ZOAG241.55-1.06
1eRASS J074318.7+285258,115.82845,28.88202,
J074541.7+314254,116.42379,31.71534,CRATESJ074542+314255
J074731.2-191739,116.88047,-19.29478,J074731-191739
J074738.4+245637,116.91012,24.94361,N.A.
1eRASS J074759.1+205224,116.99672,20.8739,
1eRASS J075046.9-863213,117.69303,-86.5368,
J075100.7+032038,117.75315,3.3449,IRAS07483+0328
J075124.4+173049,117.85472,17.51326,3HSPJ075125.1+173050
1eRASS J075525.3+391108,118.85511,39.186,
1eRASS J075547.2-015740,118.94761,-1.96175,
J075745.1+022905,119.43893,2.48502,J075745+022906
1eRASS J075800.0+392028,119.50038,39.34111,
1eRASS J075906.9+171946,119.77918,17.32913,
J075941.7-384355,119.92426,-38.73225,IGRJ07597-3842
1eRASSJ080131.1+195851,120.38053,19.98075,SDSSJ080131.32+195850.6
1eRASSJ080133.6+141440,120.3898,14.24523,3C190.0
1eRASS J080158.0-494644,120.49119,-49.77843,ESO209-12
J080327.1+084153,120.86406,8.69816,PGC1351981
1eRASSJ080342.7+262721,120.92675,26.45543,J080342+262719
J080413.5-055711,121.05639,-5.95258,CRATESJ080411-055722
J080421.5-040901,121.08979,-4.14989,J080421-040857
1eRASS J080558.3+320556,121.49365,32.09865,
1eRASSJ080624.8+172502,121.60677,17.41599,J080624+172503
1eRASSJ081118.5+003526,122.82798,0.59075,J081118+003526
1eRASSJ081129.1+033645,122.87147,3.61309,LAMOSTJ081129.15+033647.1
1eRASSJ081130.2+020608,122.87608,2.10224,N.A.
1eRASSJ081130.8+093352,122.87868,9.56416,J081130+093350
1eRASS J081509.6+032753,123.79097,3.46492,
1eRASSJ081515.9-012458,123.81768,-1.41768,WISEAJ081516.24-012503.6
1eRASSJ081520.7+273617,123.83521,27.6049,N.A.
J081522.9+015459,123.84566,1.91415,J081522+015450
J081527.5-030824,123.86557,-3.14076,3C196.1
J081641.5+092337,124.1705,9.3926,J081640+092333
1eRASS J081651.0+180249,124.21302,18.04694,
1eRASS J081738.2+242331,124.40991,24.39167,
J081814.5+012229,124.56038,1.37451,PGC1192920
J081914.6-251116,124.81118,-25.18733,J081914-251114
1eRASSJ081934.2+083137,124.89262,8.52716,N.A.
1eRASS J082003.0-174150,125.01297,-17.69797,
1eRASSJ082026.8+120307,125.11166,12.05325,SDSSJ082026.66+120311.6
1eRASSJ082226.4+051953,125.6101,5.33088,SDSSJ082226.42+051951.1
1eRASS J082230.5-593033,125.62838,-59.50967,SAO235932
J082321.6+042225,125.83969,4.37275,J082321+042221
1eRASS J082418.0+014039,126.07574,1.67792,
1eRASSJ082452.5+082959,126.21833,8.49705,J082452+082950
1eRASSJ082549.4+173352,126.45529,17.56348,SDSSJ082549.26+173348.5
J082601.4-223025,126.50654,-22.50756,5BZB J0826-2230
1eRASSJ082658.6+190921,126.74406,19.15599,SDSSJ082658.56+190921.5
1eRASSJ082709.4-650441,126.78973,-65.07818,J082709-650441
J082731.7-083444,126.88253,-8.57928,J082731-083439
1eRASSJ082733.8+043618,126.89078,4.60487,N.A.
1eRASSJ082738.9+094209,126.91251,9.70263,SDSSJ082739.00+094209.4
J082750.1-142712,126.95879,-14.45342,J082749-142715
J082841.6-241850,127.17356,-24.31401,NVSS J082841-241850
1eRASSJ082853.9+274830,127.22296,27.80925,SDSSJ082853.50+274833.2
1eRASSJ082906.3+270454,127.2756,27.08186,N.A.
1eRASSJ082930.4+081239,127.37744,8.21058,PGC1341762
1eRASS J083016.5-672531,127.56918,-67.42478,
J083102.8-041145,127.76303,-4.19594,J083103-041145
1eRASS J083106.2+111110,127.77611,11.18627,SAO97873
1eRASS J083137.3+192340,127.90488,19.39371,
1eRASSJ083217.3+291910,128.07216,29.31922,SAO80232
J083225.3+370735,128.10566,37.12672,CBS74
1eRASSJ083247.0+285313,128.19541,28.88681,N.A.
1eRASSJ083523.8+185314,128.84942,18.88739,N.A.
J083538.8-040520,128.91152,-4.08822,NGC2617
1eRASSJ083726.6+145105,129.36264,14.85055,J083727+145105
1eRASSJ083732.7+284219,129.38624,28.7052,NGC2619
1eRASSJ083810.9+245347,129.54557,24.89529,NGC2622
1eRASSJ083811.9-015938,129.54894,-1.99198,J083811-015935
J083830.8-355932,129.62823,-35.99253,ZOAG256.60+3.23
1eRASSJ083856.3+102200,129.73436,10.36739,SDSSJ083856.38+102200.9
1eRASSJ083859.3+260812,129.747,26.13699,N.A.
1eRASSJ083923.4+061002,129.84928,6.16974,J083923+061013
J084121.5-355505,130.34008,-35.91828,3HSPJ084121.6-355505
1eRASS J084126.9-754028,130.36415,-75.6749,
1eRASSJ084153.8+231957,130.47524,23.33187,CRATESJ084154+231957
1eRASSJ084205.7+075923,130.52323,7.99043,RXSJ08421+0759
1eRASSJ084243.2+283942,130.68017,28.66185,N.A.
J084255.8+292722,130.73302,29.45717,PGC139129
J084406.5-140213,131.027,-14.03691,IRASF08417-1351
1eRASSJ084518.4+142040,131.32714,14.3428,SDSSJ084518.51+142034.1
J084553.5-024059,131.4722,-2.68338,RXSJ08458-0241
J084600.5+070424,131.49979,7.07317,CRATESJ084559+070437
J084628.4-121410,131.61848,-12.23609,PGC3095825
1eRASSJ084713.4+252056,131.80541,25.34994,J084713+252059
1eRASSJ084730.3+103321,131.87689,10.55755,SDSSJ084730.45+103327.2
J084749.3+133144,131.95516,13.52884,J084749+133143
1eRASS J084751.0-020948,131.96292,-2.16389,
1eRASSJ084816.7+284222,132.07071,28.70581,J084816+284220
1eRASSJ084929.6+052914,132.37333,5.48756,SDSSJ084929.59+052915.2
J085112.0-073901,132.79751,-7.64904,J085111.87-073904.0
1eRASS J085215.0+075334,133.06278,7.89356,J085215.1+075336
1eRASS J085358.9+212804,133.49603,21.46773,
1eRASS J085439.1+174122,133.66363,17.68964,MARK1220
1eRASSJ085813.9+194544,134.56048,19.76302,J085813+194546
1eRASSJ085841.5+140948,134.6727,14.16244,3C 212
1eRASSJ085856.8+082817,134.73654,8.47257,N.A.
1eRASSJ085946.4+274537,134.94309,27.75965,N.A.
J090036.8+205341,135.15365,20.89465,PGC1638238
1eRASSJ090325.5+224145,135.85634,22.69598,N.A.
1eRASSJ090429.5+281931,136.12345,28.32577,CRATESJ090430+281937
1eRASSJ090446.0+020843,136.19167,2.14528,SDSSJ090446.00+020842.9
J090533.4+183958,136.38962,18.66699,J090533+184002
1eRASSJ090631.8+164613,136.63281,16.76994,3C215
J090636.6-312208,136.65322,-31.36911,WISEAJ090636.80-312208.9
1eRASS J090647.9-151744,136.69905,-15.29527,
J091035.5-103454,137.64764,-10.58377,mcxcJ0910.6-1034
1eRASSJ091110.1+140638,137.7925,14.10908,SDSSJ091110.19+140632.6
1eRASSJ091333.4-004253,138.39025,-0.71416,SDSSJ091333.66-004250.9
J091345.4+405626,138.44063,40.94092,N.A.
1eRASSJ091356.5+173234,138.48532,17.54268,436527760
1eRASSJ091458.0+233329,138.74169,23.55831,N.A.
1eRASS J091543.2+065339,138.92993,6.89413,
1eRASSJ091551.6+044731,138.96519,4.79219,N.A.
1eRASSJ091603.5+173750,139.01634,17.62835,J091603+173742
1eRASSJ091634.7+175512,139.14301,17.919,MCG3-24-024
1eRASSJ091702.0+212337,139.25993,21.3941,N.A.
1eRASS J091727.1-645627,139.36342,-64.94064,
J091805.8-120538,139.52264,-12.09205,mcxcJ0918.1-1205
1eRASSJ091826.0+161820,139.60832,16.30545,MCG3-24-043
J091906.7-353828,139.77837,-35.64087,WISEAJ091906.89-353827.1
1eRASSJ092115.2+285446,140.31435,28.91238,N.A.
1eRASS J092115.2+393959,140.31447,39.6653,SAO61417
1eRASS J092127.7-115434,140.36416,-11.90946,
1eRASS J092225.2+401156,140.60549,40.19835,SAO42826
1eRASSJ092256.1+245323,140.73532,24.88992,SDSSJ092256.47+245323.6
1eRASSJ092343.0+225433,140.92917,22.90906,N.A.
J092405.4+141021,141.02175,14.17279,PGC26638
1eRASSJ092425.8+060750,141.10719,6.12999,N.A.
1eRASS J092448.9-234935,141.2034,-23.82652,SAO177412
1eRASS J092603.3+124403,141.51383,12.73458,
J092613.7+065054,141.55727,6.84867,SDSSJ092613.80+065056.4
J092637.3-131230,141.65532,-13.2092,J092637-131233
1eRASSJ092718.5+230113,141.82721,23.02005,N.A.
1eRASS J092758.2+220007,141.9925,22.00281,
J092804.9+203142,142.01899,20.52915,J092804+203145
1eRASSJ092852.0+041630,142.21599,4.27503,LAMOSTJ092851.84+041630.1
1eRASS J093035.5+103606,142.64814,10.60185,SAO98615
1eRASSJ093123.0+150844,142.84567,15.14647,J093122+150847
1eRASSJ093210.0+213004,143.04252,21.50222,J093210+213010
J093318.1-171442,143.32618,-17.24471,N.A.
1eRASSJ093324.5+222239,143.35264,22.37719,FBQSJ093324.6+222238
1eRASSJ093347.5+211435,143.44959,21.2434,N.A.
1eRASSJ093512.7+004735,143.80184,0.79386,J093512+004739
1eRASSJ093527.1+261706,143.86298,26.28609,N.A.
1eRASSJ093527.1+073020,143.86432,7.50724,J093527+073026
1eRASSJ093552.6+201132,143.97139,20.19409,J093552+201138
J093641.0+101417,144.1706,10.23756,SDSSJ093641.06+101415.8
1eRASSJ093734.8+224410,144.39413,22.73634,J093734+224410
1eRASSJ094204.7+234109,145.51995,23.68527,N.A.
1eRASSJ094217.4+053315,145.57265,5.55568,J094217+053319
1eRASS J094421.4-014456,146.08861,-1.74865,
1eRASS J094437.1-263357,146.15396,-26.56554,
J094541.8-141935,146.42449,-14.32638,NGC2992
J094652.6+131954,146.71908,13.33163,MS09441+1333
1eRASSJ094654.3+165240,146.72637,16.87792,N.A.
1eRASSJ094718.4+134520,146.82708,13.75574,PGC3095896
1eRASS J094733.0+100509,146.88822,10.08563,
J094740.1-305657,146.91731,-30.94901,ESO434-40
1eRASSJ094809.0+201830,147.0381,20.3091,J094809+201832
1eRASSJ094836.9+220053,147.15386,22.01785,B20945+22
1eRASSJ094854.3+133740,147.22746,13.62964,J094854+133744
1eRASSJ095003.1+185006,147.51203,18.83498,SDSSJ095002.88+185005.9
J095101.5-245405,147.75646,-24.9014,N.A.
1eRASSJ095102.9+142945,147.76344,14.49524,N.A.
J095154.9-064920,147.98012,-6.82342,N.A.
1eRASSJ095206.0+235247,148.02663,23.87923,FBQSJ095206.3+235245
1eRASSJ095218.9-013645,148.0795,-1.61209,MARK1239
1eRASSJ095341.6+014200,148.42241,1.70067,J095341+014205
1eRASSJ095402.3+103639,148.50938,10.60848,MCG2-25-054
1eRASSJ095418.7+283014,148.57883,28.50714,J095419+283019
1eRASSJ095456.7+092956,148.73707,9.49883,4C09.35
J095557.3-095902,148.98906,-9.98447,N.A.
1eRASSJ095700.9+132247,149.25292,13.37796,444915712
J095707.1+243317,149.27852,24.55497,N.A.
1eRASSJ095824.8+103402,149.60405,10.56734,PGC1381350
1eRASSJ095844.2+054941,149.68364,5.82807,SDSSJ095844.07+054941.0
J095942.7-311300,149.928,-31.21738,WPVS48
1eRASSJ095947.2+222415,149.94511,22.40272,J095947+222408
1eRASSJ095955.6+130239,149.9827,13.04382,N.A.
1eRASS J100001.3+243309,150.00533,24.55306,SAO81134
1eRASSJ100022.1+223319,150.09084,22.55518,5BZU J1000+2233
1eRASS J100033.8+104723,150.14129,10.79037,
1eRASSJ100110.0+235214,150.28993,23.87048,SDSSJ100109.58+235213.7
1eRASS J100159.9-080943,150.49997,-8.16241,
1eRASSJ100312.3+185725,150.80235,18.95746,SDSSJ100312.56+185726.8
1eRASSJ100447.3+144646,151.19823,14.77948,N.A.
